week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,rushing_yds,rushing_tds,rushing_twoptm,receiving_tds,receiving_rec,receiving_yds,fumbles_lost,receiving_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,defense_fgblk,defense_puntblk
11.0,CHI,DEF,B.Braunecker,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,RB,T.Riddick,,,,,,,,,,0.0,,,35.0,0.0,0.0,0.0,1.0,4.0,,0.0,,,,,,
11.0,DET,WR,K.Golladay,,,,,,,,,,0.0,,,,,,0.0,2.0,52.0,,0.0,,,,,,
11.0,CHI,DB,M.Cooper,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CHI,DT,J.Bullard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,K,M.Prater,,,,,,,,,,0.0,79.0,3.0,,,,,,,,,,,,,,
11.0,CHI,P,P.O'Donnell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,WR,G.Tate,,,,,,,,,,0.0,,,,,,0.0,3.0,32.0,,0.0,,,,,,
11.0,CHI,WR,M.Wheaton,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,MLB,P.Worrilow,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CHI,OLB,P.McPhee,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CHI,CB,C.LeBlanc,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,OT,T.Decker,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,SS,D.Carey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,TE,D.Fells,,,,,,,,,,0.0,,,,,,0.0,1.0,9.0,,0.0,,,,,,
11.0,DET,LB,N.Bellore,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,G,T.Lang,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,DET,DEF,T.Tabor,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CHI,,T.McBride,,,,,,,,,,0.0,,,,,,0.0,2.0,14.0,,0.0,,,,,,
11.0,DET,DEF,J.Ledbetter,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,DEF,D.Payne,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,K,J.Lambo,,,,,,,,,,0.0,77.0,1.0,,,,,,,,,,,,,,
11.0,CLE,WR,M.Dayes,,,,,,,,,,0.0,,,,,,0.0,1.0,5.0,,0.0,,,,,,
11.0,CLE,RB,I.Crowell,,,,,,,,,,0.0,,,18.0,0.0,0.0,,,,,,,,,,,
11.0,JAX,MLB,P.Posluszny,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,DT,A.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
