week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,receiving_rec,rushing_yds,receiving_yds,receiving_tds,rushing_tds,receiving_twoptm,rushing_twoptm,kicking_xpmade,fumbles_lost,passing_yds,passing_tds,passing_twoptm,passing_ints,kicking_fgm_yds,defense_fgblk,defense_safe
5.0,BUF,QB,T.Taylor,,,,,,,,,,0.0,,3.0,,,0.0,,0.0,,,166.0,1.0,0.0,1.0,,,
5.0,BUF,TE,C.Clay,,,,,,,,,,0.0,2.0,,31.0,0.0,,0.0,,,,,,,,,,
5.0,BUF,RB,L.McCoy,,,,,,,,,,0.0,6.0,63.0,26.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,
5.0,CIN,MLB,K.Minter,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,DE,M.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,P,C.Schmidt,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,DEF,M.Milano,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,LB,L.Alexander,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,WR,C.Core,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,K,R.Bullock,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,59.0,,
5.0,CIN,DEF,C.Carter,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,WR,B.Tate,,,,,,,,,,0.0,2.0,,25.0,1.0,,0.0,,,,,,,,,,
5.0,CIN,CB,D.Kirkpatrick,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,CB,D.Dennard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,CB,W.Jackson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,OLB,V.Burfict,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,DT,G.Atkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,WR,A.Holmes,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
