week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,rushing_yds,rushing_twoptm,rushing_tds,fumbles_lost,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,defense_puntblk,defense_fgblk
6.0,ATL,WR,T.Gabriel,,,,,,,,,,0.0,,,,,,,39.0,4.0,0.0,0.0,,,,,,
6.0,MIA,CB,B.McCain,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,WR,V.Taylor,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,CB,X.Howard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,RB,T.Coleman,,,,,,,,,,0.0,,,32.0,0.0,1.0,,4.0,1.0,0.0,0.0,,,,,,
6.0,ATL,WR,J.Hardy,,,,,,,,,,0.0,,,,,,,34.0,3.0,0.0,0.0,,,,,,
6.0,ATL,K,M.Bryant,,,,,,,,,,0.0,50.0,2.0,,,,,,,,,,,,,,
6.0,ATL,,D.Coleman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,RB,K.Drake,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,P,M.Bosher,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,
6.0,MIA,QB,J.Cutler,,,,,,,,,,0.0,,,-1.0,0.0,0.0,,,,,,151.0,2.0,0.0,1.0,,
6.0,MIA,TE,J.Thomas,,,,,,,,,,0.0,,,,,,,22.0,3.0,0.0,0.0,,,,,,
6.0,ATL,SS,K.Neal,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,DE,D.Shelby,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,OLB,D.Campbell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,RB,J.Ajayi,,,,,,,,,,0.0,,,130.0,0.0,0.0,,,,,,,,,,,
6.0,ATL,FS,R.Allen,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,CB,R.Alford,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,WR,J.Landry,,,,,,,,,,0.0,,,,,,,62.0,8.0,1.0,0.0,,,,,,
6.0,ATL,WR,A.Roberts,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,P,M.Haack,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,SS,R.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,DEF,C.Tankersley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,WR,Ju.Jones,,,,,,,,,,0.0,,,,,,,72.0,6.0,0.0,0.0,,,,,,
6.0,MIA,DE,W.Hayes,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,WR,M.Hall,,,,,,,,,,0.0,,,,,,,40.0,1.0,1.0,0.0,,,,,,
6.0,ATL,OLB,D.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,DEF,D.Riley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,RB,D.Williams,,,,,,,,,,0.0,,,9.0,0.0,0.0,,14.0,3.0,0.0,0.0,,,,,,
6.0,ATL,DE,B.Reed,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,G,A.Levitre,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,MLB,R.Maualuga,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,WR,C.Harris,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,DE,A.Clayborn,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,CB,D.Trufant,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,WR,K.Stills,,,,,,,,,,0.0,,,,,,,49.0,4.0,1.0,0.0,,,,,,
