week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,passing_yds,rushing_yds,passing_tds,passing_twoptm,rushing_tds,fumbles_lost,passing_ints,rushing_twoptm,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,defense_safe,defense_xpblk,defense_puntblk
10.0,BUF,FB,P.DiMarco,,,,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,21.0,3.0,0.0,0.0,,,
10.0,BUF,WR,D.Dawkins,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,
10.0,NO,DT,T.Davison,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,TE,C.Clay,,,,,,,,,,0.0,,,,,,,,,,,13.0,2.0,0.0,0.0,,,
10.0,NO,CB,P.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,NO,TE,M.Hoomanawanui,,,,,,,,,,0.0,,,,,,,,,,,4.0,1.0,0.0,0.0,,,
10.0,BUF,DT,A.Washington,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,DT,C.Thornton,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,NO,DT,S.Rankins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,OT,J.Mills,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,OG,R.Incognito,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,WR,J.Matthews,,,,,,,,,,0.0,,,,,,,,,,,14.0,1.0,0.0,0.0,,,
10.0,NO,DT,D.Onyemata,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,NO,CB,D.Harris,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,NO,FB,Z.Line,,,,,,,,,,0.0,,,,9.0,,,0.0,,,0.0,,,,,,,
10.0,BUF,DEF,E.Yarbrough,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,QB,J.Webb,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,DEF,M.Milano,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,NO,RB,T.Edmunds,,,,,,,,,,0.0,,,,48.0,,,1.0,,,0.0,,,,,,,
10.0,BUF,,R.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,NO,CB,K.Crawley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,QB,N.Peterman,,,,,,,,,,0.0,,,79.0,,1.0,0.0,,,0.0,,,,,,,,
10.0,NO,CB,C.Banjo,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,DEF,T.Vallejo,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,NO,QB,C.Daniel,,,,,,,,,,0.0,,,,-2.0,,,0.0,,,0.0,,,,,,,
10.0,GB,K,M.Crosby,,,,,,,,,,0.0,114.0,2.0,,,,,,,,,,,,,,,
10.0,GB,DEF,L.Pipkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,RB,B.Cunningham,,,,,,,,,,0.0,,,,0.0,,,0.0,1.0,,0.0,32.0,3.0,0.0,0.0,,,
10.0,GB,DEF,V.Biegel,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,DE,M.Daniels,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,RB,Jo.Howard,,,,,,,,,,0.0,,,,54.0,,,0.0,,,0.0,,,,,,,
