week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_xpmade,rushing_tds,receiving_rec,rushing_yds,receiving_yds,receiving_tds,receiving_twoptm,rushing_twoptm,fumbles_lost,passing_yds,passing_tds,passing_twoptm,passing_ints,kicking_fgm_yds,defense_puntblk,defense_safe,defense_fgblk
9.0,HOU,CB,J.Joseph,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,WR,C.Rogers,,,,,,,,,,0.0,,,1.0,,17.0,0.0,0.0,,,,,,,,,,
9.0,HOU,LB,B.Scarlett,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,FS,A.Hal,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,NT,D.Reader,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,CB,K.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,WR,T.Hilton,,,,,,,,,,0.0,,,5.0,,175.0,2.0,0.0,,,,,,,,,,
9.0,IND,K,A.Vinatieri,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,75.0,,,
9.0,IND,DE,B.Mingo,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,
9.0,HOU,RB,D.Foreman,,,,,,,,,,0.0,,0.0,,37.0,,,,0.0,,,,,,,,,
9.0,HOU,DEF,C.Thompson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,OLB,L.Houston,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,
9.0,HOU,DB,E.Pleasant,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,DEF,N.Hairston,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,DB,M.Farley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,DB,P.Desir,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,DEF,Z.Cunningham,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,LS,J.Weeks,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,RB,M.Mack,,,,,,,,,,0.0,,0.0,,29.0,,,,0.0,,,,,,,,,
9.0,HOU,OLB,J.Jenkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,OLB,J.Clowney,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
