week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,receiving_tds,receiving_rec,receiving_yds,receiving_twoptm,rushing_yds,rushing_tds,rushing_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,kicking_fgm_yds,kicking_xpmade,fumbles_lost,defense_puntblk
14.0,CAR,WR,K.Clay,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,DT,L.Joseph,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,OLB,A.Barr,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,DE,E.Griffen,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,RB,C.McCaffrey,,,,,,,,,,0.0,0.0,3.0,18.0,0.0,35.0,0.0,0.0,,,,,,,,
14.0,MIN,MLB,E.Kendricks,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,DT,S.Stephen,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,WR,D.Funchess,,,,,,,,,,0.0,1.0,3.0,59.0,0.0,,,,,,,,,,,
14.0,MIN,CB,X.Rhodes,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,OLB,A.Gachkar,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,WR,M.Brown,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,OLB,T.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,TE,B.Bell,,,,,,,,,,0.0,0.0,2.0,7.0,1.0,,,,,,,,,,,
14.0,MIN,WR,L.Treadwell,,,,,,,,,,0.0,0.0,2.0,23.0,0.0,,,,,,,,,,,
14.0,MIN,,R.Quigley,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,TE,G.Olsen,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,CB,M.Sherels,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,
14.0,CAR,WR,R.Shepard,,,,,,,,,,0.0,,,,,8.0,0.0,0.0,,,,,,,,
14.0,CAR,CB,C.Munnerlyn,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,TE,C.Manhertz,,,,,,,,,,0.0,0.0,1.0,6.0,0.0,,,,,,,,,,,
14.0,CAR,LS,J.Jansen,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,CB,J.Bradberry,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,FS,K.Coleman,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,SS,M.Adams,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,
14.0,CAR,CB,K.Seymour,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,LB,D.Mayo,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,DT,S.Lotulelei,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,WR,C.Ham,,,,,,,,,,0.0,0.0,1.0,9.0,0.0,,,,,,,,,,,
14.0,MIN,DEF,B.Gedeon,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,TE,E.Dickson,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,FS,H.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,,W.Horton,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,WR,J.Wright,,,,,,,,,,0.0,0.0,2.0,13.0,0.0,,,,,,,,,,,
14.0,MIN,DE,B.Robison,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,WR,M.Floyd,,,,,,,,,,0.0,0.0,1.0,3.0,0.0,,,,,,,,,,,
14.0,MIN,CB,T.Newman,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,RB,F.Whittaker,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,,B.Jacobs,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CAR,T,M.Kalil,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,MIN,CB,M.Alexander,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CHI,K,M.Nugent,,,,,,,,,,0.0,,,,,,,,,,,,61.0,3.0,,
14.0,CIN,TE,R.Hewitt,,,,,,,,,,0.0,0.0,1.0,6.0,0.0,,,,,,,,,,,
14.0,CHI,DB,M.Cooper Sr.,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CHI,CB,S.McManis,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CIN,WR,A.Erickson,,,,,,,,,,0.0,0.0,1.0,9.0,0.0,,,,,,,,,,,
14.0,CIN,RB,G.Bernard,,,,,,,,,,0.0,0.0,6.0,68.0,0.0,62.0,0.0,0.0,,,,,,,,
14.0,CHI,DE,A.Hicks,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CIN,QB,A.Dalton,,,,,,,,,,0.0,,,,,,,,141.0,1.0,0.0,1.0,,,,
14.0,CHI,DB,P.Amukamara,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CIN,OT,A.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CHI,DEF,E.Jackson,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,
14.0,CHI,CB,K.Fuller,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,CIN,WR,A.Green,,,,,,,,,,0.0,0.0,5.0,64.0,0.0,,,,,,,,,,1.0,
14.0,CIN,WR,T.Boyd,,,,,,,,,,0.0,0.0,1.0,15.0,0.0,,,,,,,,,,,
14.0,CIN,P,K.Huber,,,,,,,,,,0.0,,,,,,,,,,,,,,,
