week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,passing_yds,passing_twoptm,passing_ints,passing_tds,receiving_rec,receiving_yds,receiving_tds,receiving_twoptm,rushing_yds,rushing_tds,rushing_twoptm,fumbles_lost,kicking_xpmade,kicking_fgm_yds,defense_fgblk,defense_xpblk,defense_puntblk,fumbles_rec_tds
15.0,CHI,QB,M.Trubisky,,,,,,,,,,0.0,314.0,0.0,3.0,1.0,,,,,3.0,0.0,0.0,0.0,,,,,,
15.0,DET,OLB,T.Whitehead,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,RB,Jo.Howard,,,,,,,,,,0.0,,,,,4.0,26.0,0.0,0.0,37.0,0.0,0.0,,,,,,,
15.0,CHI,WR,J.Bellamy,,,,,,,,,,0.0,,,,,5.0,70.0,0.0,0.0,,,,,,,,,,
15.0,DET,CB,D.Slay,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,DEF,J.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,DT,A.Zettel,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,CB,Q.Diggs,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,WR,K.Wright,,,,,,,,,,0.0,,,,,7.0,81.0,0.0,0.0,,,,,,,,,,
15.0,DET,WR,J.Agnew,,,,,,,,,,0.0,,,,,1.0,6.0,0.0,0.0,,,,,,,,,,
15.0,CHI,P,P.O'Donnell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,RB,B.Cunningham,,,,,,,,,,0.0,,,,,4.0,33.0,1.0,0.0,,,,,,,,,,
15.0,DET,,T.Jones,,,,,,,,,,0.0,,,,,3.0,26.0,1.0,0.0,,,,,,,,,,
15.0,DET,OT,C.Robinson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,OLB,L.Houston,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,DE,H.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,CB,D.Hayden,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,LS,A.DePaola,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,DEF,E.Jackson,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,
15.0,DET,RB,T.Green,,,,,,,,,,0.0,,,,,,,,,35.0,0.0,0.0,,,,,,,
15.0,CHI,CB,K.Fuller,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,WR,K.Golladay,,,,,,,,,,0.0,,,,,4.0,29.0,0.0,0.0,,,,,,,,,,
15.0,DET,WR,G.Tate,,,,,,,,,,0.0,,,,,3.0,33.0,0.0,0.0,,,,,,,,,,
15.0,CHI,DT,J.Bullard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,CB,B.Callahan,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,DT,A.Robinson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,FS,G.Quin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,TE,D.Fells,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,DB,D.Bush,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,FS,D.Houston-Carson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,CB,N.Lawson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,DT,A.Spence,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,MLB,P.Worrilow,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,DE,C.Washington,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,T,C.Leno Jr.,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,TE,D.Sims,,,,,,,,,,0.0,,,,,1.0,9.0,0.0,0.0,,,,,,,,,,
15.0,CHI,OLB,S.Acho,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,,D.Brown,,,,,,,,,,0.0,,,,,3.0,32.0,0.0,0.0,,,,,,,,,,
15.0,DET,SS,D.Carey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,DEF,T.Tabor,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
