week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,receiving_rec,rushing_yds,receiving_yds,receiving_tds,rushing_tds,receiving_twoptm,rushing_twoptm,passing_yds,passing_twoptm,passing_ints,passing_tds,fumbles_lost
2.0,BAL,DE,B.Urban,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,CB,J.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,DEF,P.Onwuasor,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,DEF,C.Clark,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,QB,K.Hogan,,,,,,,,,,0.0,,,,5.0,,,0.0,,0.0,118.0,0.0,1.0,1.0,
2.0,CLE,TE,S.DeValve,,,,,,,,,,0.0,,,2.0,,61.0,0.0,,0.0,,,,,,
2.0,CLE,K,Z.Gonzalez,,,,,,,,,,0.0,38.0,1.0,,,,,,,,,,,,
2.0,CLE,DEF,J.Burgess,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,CB,A.Levine Sr.,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,DEF,T.Bowser,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,WR,B.Bello,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,DEF,M.Dayes,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,DB,I.Campbell,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,DE,C.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,WR,L.Ogunjobi,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,LB,E.Ogbah,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,LB,N.Orchard,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2.0,BAL,RB,A.Collins,,,,,,,,,,0.0,,,,42.0,,,0.0,,0.0,,,,,1.0
2.0,CLE,DT,J.Meder,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,DEF,T.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,DEF,M.Humphrey,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,DE,C.Nassib,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,WR,C.Matthews,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BAL,C,T.Bergstrom,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CLE,WR,R.Louis,,,,,,,,,,0.0,,,2.0,,27.0,0.0,,0.0,,,,,,
2.0,BUF,K,S.Hauschka,,,,,,,,,,0.0,45.0,0.0,,,,,,,,,,,,
2.0,CAR,RB,J.Stewart,,,,,,,,,,0.0,,,,40.0,,,0.0,,0.0,,,,,
2.0,BUF,DT,K.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,DE,S.Lawson,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,QB,C.Newton,,,,,,,,,,0.0,,,,27.0,,,0.0,,0.0,228.0,0.0,0.0,0.0,
2.0,CAR,TE,G.Olsen,,,,,,,,,,0.0,,,1.0,,10.0,0.0,,0.0,,,,,,
2.0,CAR,WR,K.Benjamin,,,,,,,,,,0.0,,,6.0,,77.0,0.0,,0.0,,,,,,
2.0,BUF,DEF,T.White,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,FS,J.Poyer,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,LB,L.Alexander,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,WR,C.Samuel,,,,,,,,,,0.0,,,2.0,,7.0,0.0,,0.0,,,,,,
2.0,BUF,,R.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,MLB,P.Brown,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,RB,C.McCaffrey,,,,,,,,,,0.0,,,4.0,10.0,34.0,0.0,0.0,0.0,0.0,,,,,
2.0,BUF,DT,C.Thornton,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,LB,R.Humber,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,WR,D.Funchess,,,,,,,,,,0.0,,,4.0,,68.0,0.0,,0.0,,,,,,
2.0,CAR,K,G.Gano,,,,,,,,,,0.0,82.0,0.0,,,,,,,,,,,,
2.0,CAR,DT,S.Lotulelei,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,RB,L.McCoy,,,,,,,,,,0.0,,,6.0,9.0,34.0,0.0,0.0,0.0,0.0,,,,,
2.0,CAR,DT,K.Short,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,WR,Z.Jones,,,,,,,,,,0.0,,,2.0,,18.0,0.0,,0.0,,,,,,
2.0,CAR,SS,M.Adams,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,QB,T.Taylor,,,,,,,,,,0.0,,,,55.0,,,0.0,,0.0,125.0,0.0,0.0,0.0,
2.0,CAR,CB,D.Worley,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,WR,A.Holmes,,,,,,,,,,0.0,,,2.0,,18.0,0.0,,0.0,,,,,,
2.0,CAR,CB,J.Bradberry,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,P,C.Schmidt,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,CB,E.Gaines,,,,,,,,,,0.0,,,,,,,,,,,,,,
