week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,receiving_tds,receiving_rec,rushing_yds,receiving_yds,rushing_tds,receiving_twoptm,rushing_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,fumbles_lost,defense_safe,defense_xpblk,fumbles_rec_tds,defense_fgblk
17.0,ATL,WR,J.Hardy,,,,,,,,,,0.0,,,0.0,2.0,,32.0,,0.0,,,,,,0.0,,,,
17.0,ATL,FS,R.Allen,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,DE,C.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,LB,D.Mayo,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,FS,J.Byrd,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,,D.Coleman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,ATL,LB,V.Beasley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CAR,T,M.Kalil,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,LB,S.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,WR,A.Erickson,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,
17.0,BAL,K,J.Tucker,,,,,,,,,,0.0,80.0,3.0,,,,,,,,,,,,,,,,
17.0,BAL,ILB,C.Mosley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,RB,J.Mixon,,,,,,,,,,0.0,,,0.0,1.0,96.0,1.0,0.0,0.0,0.0,,,,,1.0,,,,
17.0,BAL,CB,M.Canady,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,DEF,P.Onwuasor,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,TE,C.Uzomah,,,,,,,,,,0.0,,,0.0,1.0,,7.0,,0.0,,,,,,,,,,
17.0,BAL,CB,B.Carr,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,QB,A.Dalton,,,,,,,,,,0.0,,,,,-2.0,,0.0,,0.0,222.0,3.0,0.0,0.0,,,,,
