week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_xpmade,kicking_fgm_yds,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,fumbles_lost,passing_yds,rushing_yds,passing_tds,passing_twoptm,rushing_tds,passing_ints,rushing_twoptm,defense_xpblk,defense_fgblk,fumbles_rec_tds
12.0,DET,DEF,S.Longa,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,LB,N.Dzubnar,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,OLB,J.Brown,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,K,N.Novak,,,,,,,,,,0.0,0.0,22.0,,,,,,,,,,,,,,,
12.0,DAL,RB,R.Switzer,,,,,,,,,,0.0,,,,,,,,,-4.0,,,0.0,,0.0,,,
12.0,LAC,OLB,H.Pullard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,ILB,D.Perryman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,RB,A.Morris,,,,,,,,,,0.0,,,13.0,1.0,0.0,0.0,,,36.0,,,0.0,,0.0,,,
12.0,LAC,OLB,M.Ingram,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,TE,J.Witten,,,,,,,,,,0.0,,,44.0,7.0,0.0,0.0,,,,,,,,,,,
12.0,LAC,DEF,D.King,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,QB,D.Prescott,,,,,,,,,,0.0,,,,,,,0.0,179.0,,0.0,0.0,,2.0,,,,
12.0,DAL,P,C.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,TE,H.Henry,,,,,,,,,,0.0,,,76.0,5.0,1.0,0.0,,,,,,,,,,,
12.0,LAC,QB,P.Rivers,,,,,,,,,,0.0,,,,,,,0.0,434.0,-5.0,3.0,0.0,0.0,0.0,0.0,,,
